object_class,AdapterIntfType,AdapterName,Alias,AttrPos,AttrType,BusinessName,Cardinality,CleanupOnError,CompSubType,CompTypeVersion,CpOrder,CpPos,DataTypeName,Descript,Description,Direction,DispNameKey,ExecOnHint,ExpTxtNb,ExtDtQualName,ExtVersion,FcoGuid,FcoQualifiedName,FcoQualifiedName2,FcoQualifiedName3,FirstDate,FirstUser,GenType,GlobalId,GrpFunc,HasUnparsedIdent,HintSyncState,ICheckKm,IContextMapRef,IDataMapRef,IDeploySpec,IDisTechRef,IEndMapCp,IEuKmRef,IExOnLsRef,IExecUnit,IExecUnitGrp,IFcoId,IFolder,IFromPhyNode,ILschemaRef,IMapAttr,IMapComp,IMapCompType,IMapConn,IMapCp,IMapCpRole,IMapExpr,IMapExprRef,IMapProp,IMapPropParent,IMapRef,IMapRefCp,IMapping,IOwnerDs,IOwnerMapAttr,IOwnerMapComp,IOwnerMapCp,IOwnerMapExpr,IOwnerMapProp,IOwnerMapping,IOwnerPhyNode,IParExecUnit,IParMapAttr,IParMapCp,IParPhyNode,IPhyExpr,IPhyNode,IProject,IPropDef,IPropXrefValue,IRefId,IRefMapAttr,IRefMapComp,IRefMapRef,IRefPhyNode,IRmExprRef,IScBaseMapping,IScId,IScMapping,IScOrigMapping,IScopingMapCp,ISrcCompKm,IStartMapCp,ITechno,ITgtCompKm,IToPhyNode,IndChange,IndFixedByHint,IndFixedByTechno,InstObjNb,IntDtQualName,IntVersion,IsActive,IsCardinal,IsConcurrent,IsDerivedName,IsFixedEu,IsFrozen,IsHidden,IsParsed,IsRequired,IsReusable,IsTap,IsValid,JoinColNb,JoinNb,KeyColNb,KeyNb,LastDate,LastUser,Length,LinkDiagNb,LogStagelocName,LschemaName,MetadataVersion,MorigTxtNb,MtxtNb,MultiConGenType,Name,NodeType,OdiVersion,OptClassName,OrigTxtNb,OriginRepositoryID,OtherObjectsNb,ParsedText,ParsedTxt,PlanAgentNb,Prec,PropDefGuid,PropDefQualifiedName,PropOrder,PropType,PropValue,PropValues,PushedByHint,QualifiedName,QualifiedName2,QualifiedName3,RefCompName,RefCount,RefCpName,RefDsInputCp,RefExprQualName,RefGuid,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId,RefText,RepositoryVersion,ScGuid,ScOrigMappingTag,Scale,ScenTxtNb,SortPos,SourceDt,StageTableName,StepNb,SyncReqd,Text,TextHash,TextOnly,Txt,TxtNb,TypeName,UeOrigNb,UeUsedNb,ValidationCode,VarPlanAgentNb
SnpPhyExpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75f34441-7a49-4a41-b7fa-e385a6bfff5c,,,null,,,,,,,,,,,,,null,,,,,,,,982207,,,,,,,,,,,,,,175591,,,,,675707,,,,,,,,,,null,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,,e7b08aef-3146-4e46-b482-1abd14ff00ca,,,,,,,,,,,,,,9418,,,,,,,,,,,,,,1828815,,,,,,,,,33424,,,,,,,,,,,180828,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,Pmt_Meth_Type_Cd,null,null,,1,,,,76e332bd-0772-4007-b269-53e01d97f9c3,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,,null,null,null,,,,,null,,,,,,null,null,,7984d970-dcd7-4bfb-8970-b5975dbd8b29,AUTO,,,,,1828825,,,,,,,,,,,,1403547,,,,,,,,,,1828815,,,,,,404955,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,null,,,,null,null,,,,1,,,,,0,,,,,,,,null,null,null,,,,,,,,pmt_meth_type_cd,,,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,1,null,,,,,,,,,,,,,
SnpMapExprRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8b112c9f-061d-4ee8-8423-cea77b3209f2,,,,,,,,,,,,,,,,,,,,,,,,,977489,,,,,,,,,,982207,,,,,,,,,,,,,,1403547,null,null,,,,,,,404958,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R0,,,,,pmt_meth_type.pmt_meth_type_cd,,,,,,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,,85ea0615-1c9a-47ed-b86b-71b48cfca05d,,,,,,,,,,,,,,9418,,,,,,,,,,,,,,1828821,,,,,,,,,33424,,,,,,,,,,,180830,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,Pmt_Meth_Type_Desc,null,null,,1,,,,c5f882e6-89c1-4da7-af41-396945c12cfc,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,,null,null,null,,,,,null,,,,,,null,null,,3cc32c59-8124-4e4a-ae5f-b44af45ff3c1,AUTO,,,,,1828819,,,,,,,,,,,,1403549,,,,,,,,,,1828821,,,,,,404955,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,null,,,,null,null,,,,1,,,,,0,,,,,,,,null,null,250,,,,,,,,Pmt_Meth_Type_Desc,,,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,,,,,,0,,3,null,,,,,,,,,,,,,
SnpMapRef,IDataType,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,2906a6b8-ff22-496d-b3f0-0efa303d0003,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828819,,,,,,,,,33424,,,,,,,,,,,678,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,TERADATA.VARCHAR,null,null,,1,,,,ce91f01b-1028-3055-a164-aebdcf008277,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapConn,,,,,,null,,,,,,,,null,null,,,,,,,,,,,,,,6e2ac5ff-c15e-43ee-8dda-61a1bad764e0,,,,,,,,,404956,,,,,,,,,,,,142060,,,,,,,,,,,,,,,,33424,,,,,,,,,,,,,,,,,,,,,,,404955,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,PMT_METH_TYPE.OUTPUT1_TO_FILTER.INPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,,e67f2ca1-8f73-439d-a2ce-466a7b0bae11,,,,,,,,,,,,,,8583,,,,,,,,,,,,,,1828828,,,,,,,,,33424,,,,,,,,,,,169330,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,pmt_meth_type_uid,null,null,,1,,,,524bb737-98d4-4be5-991c-c0aee37e3f62,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,,null,null,null,,,,,null,,,,,,null,null,,c4de2627-6ebb-4572-80ad-d5aaf178efba,AUTO,,,,,1828825,,,,,,,,,,,,1403555,,,,,,,,,,1828828,,,,,,404959,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,null,,,,null,null,,,,1,,,,,0,,,,,,,,null,null,null,,,,,,,,pmt_meth_type_uid,,,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,1,null,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,,a7403f42-922d-4320-a255-704a035782b7,,null,,,,,,null,,,null,,,,,,,,,,,404958,,982215,,,,,,,,1403555,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,null,null,,,,,,,1,,,,,,,,,null,null,,,,,,,,,,,,,,,,null,FARM_FINGERPRINT(@{R0}),,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,null,602761944,0,FARM_FINGERPRINT(pmt_meth_type.pmt_meth_type_cd),,,,,null,
SnpMapExprRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0063c8d5-0035-4eaf-89b2-9e09b508d259,,,,,,,,,,,,,,,,,,,,,,,,,977495,,,,,,,,,,982215,,,,,,,,,,,,,,1403547,null,null,,,,,,,404958,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R0,,,,,pmt_meth_type.pmt_meth_type_cd,,,,,,,,,,,,,,,,,,,,
SnpMapExprRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4b364fe-f922-432f-9cea-f020f55551d2,,,,,,,,,,,,,,,,,,,,,,,,,977493,,,,,,,,,,982212,,,,,,,,,,,,,,1403547,null,null,,,,,,,404956,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,pmt_meth_type.pmt_meth_type_cd,,,,,,,,,,,,,,,,,,,,
SnpMapRef,IKnowledgeModule,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,1c9df1d7-08ce-4c89-b682-0c6f05e5339a,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828833,,,,,,,,,33424,,,,,,,,,,,7,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,XKM SQL Extract,null,null,,1,,,,423bbc73-54a3-4f85-9553-62ac65a2174b,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapRef,IKnowledgeModule,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,a5095e0f-a25c-4fec-b6f3-e7de216303cc,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828832,,,,,,,,,33424,,,,,,,,,,,15,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,XKM SQL Filter,null,null,,1,,,,d16dfe47-8e6e-4b3c-a286-c8724b301418,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapCp,,,,,,null,M,,null,,1,null,,null,null,O,,,,,,,,,,,,,2728cbab-cdb7-447d-8bc5-475f38718292,,,,,,,,,,,,,,,,,,,,,,404957,4,,,,,null,,,,,191369,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpPhyNode,,,,,,null,,,,,,,,null,null,,,,,,,,,,,,,,bb56baf0-dc96-4b16-bf88-a52bec2a334d,,,null,null,,,,,,,,33428,,,,,,,191369,,,404957,,,,,,null,null,,33413,,,,,,,,,,,175591,,175592,,,,,,,,null,,,,,,,1828832,,,null,,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,FILTER,B,,,,,,,,,,,,,,,,,,,,null,,null,null,,,,,,,,,,,,,,,,null,,,,,,,,,,,,
SnpPhyNode,,,,,,null,,,,,,,,null,null,,,,,,,,,,,,,,04ee814f-9336-4226-bcba-54c9f45edf4f,,,null,null,,,,,,,,33428,,,,,,,191368,,,404955,,,,,,null,null,,33413,,,,,,,,,,,175592,,175593,,,,,,,,null,,,,,,,1828833,,,null,,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,PMT_METH_TYPE,B,,,,,,,,,,,,,,,,,,,,null,,null,null,,,,,,,,,,,,,,,,null,,,,,,,,,,,,
SnpMapCp,,,,,,null,M,,null,,1,null,,null,null,I,,,,,,,,,,,,,1561c033-4e38-4735-8260-9e798925669d,,,,,,,,,,,,,,,,,,,,,,404954,1,,,,,null,,,,,191368,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpPhyExpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38b3648b-ea5a-4ca7-b77e-a4a710322c3e,,,null,,,,,,,,,,,,,null,,,,,,,,982215,,,,,,,,,,,,,,175591,,,,,675706,,,,,,,,,,null,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapConn,,,,,,null,,,,,,,,null,null,,,,,,,,,,,,,,f767b30a-68f1-4886-b079-b95c03200858,,,,,,,,,404958,,,,,,,,,,,,142061,,,,,,,,,,,,,,,,33424,,,,,,,,,,,,,,,,,,,,,,,404957,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,FILTER.OUTPUT1_TO_D_PMT_METH_TYPE.INPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapRef,IKnowledgeModule,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,21fcd441-5846-485a-98db-73676c79233f,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828831,,,,,,,,,33424,,,,,,,,,,,9,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,IKM SQL Insert,null,null,,1,,,,f5a07b3d-e76f-425e-a851-59ebaaaf582e,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapRef,IKnowledgeModule,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,41dc2dd7-8fc9-4ec2-b1a5-9dd8bc3a9590,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828835,,,,,,,,,33424,,,,,,,,,,,2,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,EKM SQL Multi-Connect,null,null,,1,,,,5a6ce45e-4b2f-4a0a-b5e5-711321c09815,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapRef,ILogicalSchema,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,0326ed7a-d05c-454a-8047-a180b84596a2,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828829,,,,,,,,,33424,,,,,,,,,,,154,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,Copy of BQ_EDW_SEM,null,null,,1,,,,27b36735-260e-42b5-9d5a-cfbcc950d397,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapRef,IKnowledgeModule,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,f08f6293-d0b4-45f8-897c-c84f21e1ccb9,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828834,,,,,,,,,33424,,,,,,,,,,,1,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,EKM SQL Mono-Connect,null,null,,1,,,,f837d6fe-7c4c-4a11-add2-1aa0d854eb2b,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapRef,IDataType,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,f90a7b73-53cf-4a62-ac7d-ef90eb5c7b3f,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828826,,,,,,,,,33424,,,,,,,,,,,1118,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,SIMBA_BIQQUERY_TEST.TIMESTAMP,null,null,,1,,,,f829e20f-33c0-4ae3-acf3-995a078baf24,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapRef,IDataType,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,cf83dcae-361c-4c47-b184-20c9968d027b,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828825,,,,,,,,,33424,,,,,,,,,,,1183,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,SIMBA_BIQQUERY_TEST.STRING,null,null,,7,,,,d4e7c7d3-b452-4796-85cf-9e0cc8e28598,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapRef,ILogicalSchema,ODI,,,,null,,,,,,,,,null,,,,,,,null,null,null,null,null,null,,5118d96e-c870-4699-9018-31fb5f5d7c33,,,,,,,,,,,,,,null,,,,,,,,,,,,,,1828830,,,,,,,,,33424,,,,,,,,,,,155,,,,,,,null,,,,,,,,,null,,,,,null,,,,,,,,,,,,,,,,,null,null,,,,,,,,,null,,,,,,,,,,,,,,,,,,Copy of BQ_EDW_VODACOM,null,null,,1,,,,f2356325-330c-4af2-8ff5-96f5ccbb005d,,,,,,,,null,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,5dd3d242-edd0-4218-83a4-d8acde273c26,,,,,,,null,,,,,null,,,,,,null,null,,,null,,,,2375573,null,,,null,,,,,,,33424,,,,,,,175591,,239,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,IS_DEFAULT_TARGET_KM,,,,,,,,,,,null,null,-1,B,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,9e2c41a9-9b8a-4473-ada1-4c6bef074109,,,,,,,null,,,,,null,,,,,,null,null,,,null,,,,2375572,null,,,null,,,,,,,33424,,,,,,,175591,,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,KM_PROCEDURE_OPTIONS,,,,,,,,,,,null,null,-1,S,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,8bd039b5-c968-45b2-be53-9be88f353710,,,,,,,null,,,,,33428,,,,,,null,null,,,null,,,,2375571,null,,,null,,,,,,,33424,,,,,,,null,,226,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,IS_DEFAULT_EKM,,,,,,,,,,,null,null,-1,B,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,b4ff8777-8e6f-47ec-a9c7-0558b7198786,,,,,,,null,,,,,33428,,,,,,null,null,,,null,,,,2375570,null,,,null,,,,,,,33424,,,,,,,null,,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,KM_PROCEDURE_OPTIONS,,,,,,,,,,,null,null,-1,S,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,566e9348-b599-4029-aed1-f5ea8aa2f48d,,,,,,,33413,,,,,null,,,,,,null,null,,,null,,,,2375569,null,,,null,,,,,,,33424,,,,,,,null,,214,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,BEGIN_MAPPING_CMD,,,,,,,,,,,null,null,-1,E,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,,6b99cdab-6374-4eb7-a429-b39eb25059db,,null,,,,,,null,,,null,,,,,,,,,,,null,,982219,,,,,,,,null,,,,2375569,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,null,null,,,,,,,0,,,,,,,,,null,null,,,,,,,,,,,,,,,,null,null,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,null,0,0,null,,,,,null,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,d0982984-9a7b-4c08-a717-4b182c3ecf13,,,,,,,33413,,,,,null,,,,,,null,null,,,null,,,,2375568,null,,,null,,,,,,,33424,,,,,,,null,,217,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,END_MAPPING_CMD,,,,,,,,,,,null,null,-1,E,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,,f26866a7-d3ae-4c9b-8181-bc8e3eb6149f,,null,,,,,,null,,,null,,,,,,,,,,,null,,982218,,,,,,,,null,,,,2375568,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,null,null,,,,,,,0,,,,,,,,,null,null,,,,,,,,,,,,,,,,null,null,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,null,0,0,null,,,,,null,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,39250e7f-b035-49d3-a570-d2e177599cfa,,,,,,,null,,,,,null,,,,,,null,191370,,,null,,,,2375567,null,,,null,,,,,,,33424,,,,,,,null,,8,1828836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,COMPONENT_CONTEXT,,,,,,,,,,,null,null,-1,R,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,6c19ace0-0c78-4cad-b614-b9e9ca1c3801,,,,,,,null,,,,,null,,,,,,null,191368,,,null,,,,2375566,null,,,null,,,,,,,33424,,,,,,,null,,8,1828836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,COMPONENT_CONTEXT,,,,,,,,,,,null,null,-1,R,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,b27f5a84-d4a5-42ed-a29c-d8b0f3497aea,,,,,,,null,,,,,null,,,,,,1403555,null,,,null,,,,2375565,null,,,null,,,,,,,33424,,,,,,,null,,19,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,CHECK_NOT_NULL_INDICATOR,,,,,,,,,,,null,null,-1,B,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,a7654cb4-7f70-4305-9c18-f88c9021033e,,,,,,,null,,,,,null,,,,,,1403554,null,,,null,,,,2375564,null,,,null,,,,,,,33424,,,,,,,null,,19,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,CHECK_NOT_NULL_INDICATOR,,,,,,,,,,,null,null,-1,B,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,5b0494f0-5e14-4777-beb2-7ac0005c8b8a,,,,,,,null,,,,,null,,,,,,1403553,null,,,null,,,,2375563,null,,,null,,,,,,,33424,,,,,,,null,,19,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,CHECK_NOT_NULL_INDICATOR,,,,,,,,,,,null,null,-1,B,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,fc2be697-5d45-4819-9c8c-246764296f5f,,,,,,,null,,,,,null,,,,,,1403552,null,,,null,,,,2375562,null,,,null,,,,,,,33424,,,,,,,null,,19,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,CHECK_NOT_NULL_INDICATOR,,,,,,,,,,,null,null,-1,B,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,49ac0e12-d43e-48e7-ad25-86288b395e1e,,,,,,,null,,,,,null,,,,,,1403551,null,,,null,,,,2375561,null,,,null,,,,,,,33424,,,,,,,null,,19,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,CHECK_NOT_NULL_INDICATOR,,,,,,,,,,,null,null,-1,B,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,46d30efc-770a-4e07-bdac-f3b453e4beaa,,,,,,,null,,,,,null,,,,,,1403550,null,,,null,,,,2375559,null,,,null,,,,,,,33424,,,,,,,null,,19,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,CHECK_NOT_NULL_INDICATOR,,,,,,,,,,,null,null,-1,B,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,52e84a2d-cfde-4413-b9f7-1f6d950a9985,,,,,,,null,,,,,null,,,,,,1403549,null,,,null,,,,2375558,null,,,null,,,,,,,33424,,,,,,,null,,19,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,CHECK_NOT_NULL_INDICATOR,,,,,,,,,,,null,null,-1,B,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,eb486ba3-ddf0-4d62-9327-a9e8d08143a8,,,,,,,null,,,,,null,,,,,,1403548,null,,,null,,,,2375557,null,,,null,,,,,,,33424,,,,,,,null,,19,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,CHECK_NOT_NULL_INDICATOR,,,,,,,,,,,null,null,-1,B,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,7d17381e-4c12-4c3e-b5d4-fa7a1f4f8cc8,,,,,,,null,,,,,null,,,,,,1403547,null,,,null,,,,2375556,null,,,null,,,,,,,33424,,,,,,,null,,19,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,CHECK_NOT_NULL_INDICATOR,,,,,,,,,,,null,null,-1,B,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,,null,null,,null,,,,,,,,,,,,429c74d6-6b8e-40c3-96df-0ec9c46488bd,,,,,,,null,,,,,null,,,,,,null,null,,,null,,,,2375555,null,,,33424,,,,,,,33424,,,,,,,null,,191,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,XMLDiagramSettings,,,,,,,,,,,null,null,-1,S,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
